,パチパチ なにかの はじまり,"Crackle, crackle — something's beginning",パチパチ、何かの始まり,Pachipachi nanika no hajimari,劈里啪啦 某種事情的開始,噼里啪啦 某种事情的开始,"파직파직, 무언가의 시작","Percikan kecil, awal dari sesuatu","Faísca, faísca — o começo de algo",เปรี๊ยะๆ จุดเริ่มต้นของบางสิ่ง
,,,,,,,,,,
,ずーるい ずるい,"No fair, no fair",ずるい、ずるいよ,Zūrui zurui,太犯規了 犯規啦,太犯规了 犯规啦,반칙이야 반칙,"Curang, curang","Não vale, não vale",ขี้โกง ขี้โกงจัง
,まあ どうしましょ,"Oh my, what should I do?",あら、どうしましょう？,Mā dō shimasho,哎呀，怎麼辦呢,哎呀，怎么办呢,"어머, 어떡하죠","Aduh, bagaimana ini?","Nossa, e agora, o que eu faço?",โอ้ ทำยังไงดีล่ะ
,ずーるい ずるいわ,"No fair, you're so unfair",ずるい、あなたってずるいわ,Zūrui zurui wa,犯規 太犯規了啦,犯规 太犯规了啦,"반칙, 정말 반칙이야","Curang, kamu curang sekali","Não vale, assim não vale",ขี้โกง ขี้โกงจริงๆ เลย
,まい上がって,My heart's soaring high,心が舞い上がって,Maiagatte,心都飛上天了,心都飞上天了,마음이 들떠 버려서,Hatiku melambung tinggi,Meu coração está nas nuvens,ใจลอยขึ้นไปสูงเลย
,ぱっぱらぱっぱらぱー,Pappara pappara pah!,ぱっぱらぱっぱらぱー,Pappara pappara pā,啪啪啦啪啪啦啪～,啪啪啦啪啪啦啪～,팟파라 팟파라 파~,Pappara pappara paa,Pappara pappara pá,ปัปปาระ ปัปปาระ ปา~
,てか なんなのさ,"I mean, what even is it?",というか、何なのよ,Teka nan na no sa,話說回來 那到底是什麼啊,话说回来 那到底是什么啊,근데 대체 뭐냐고,"Lagipula, apa itu sebenarnya?","Quer dizer, o que é isso afinal?",ว่าแต่ มันคืออะไรกันเนี่ย
,メガネのおくの ハート,That heart behind your glasses,メガネの奥にあるハート,Megane no oku no hāto,眼鏡後面的那顆心,眼镜后面的那颗心,안경 너머의 하트,Hati di balik kacamata itu,O coração por trás dos óculos,หัวใจที่อยู่หลังแว่นตา
,,,,,,,,,,
,ずーるい ずるい,"No fair, no fair",ずるい、ずるいよ,Zūrui zurui,太犯規了 犯規啦,太犯规了 犯规啦,반칙이야 반칙,"Curang, curang","Não vale, não vale",ขี้โกง ขี้โกงจัง
,もう いけません！,That's just not allowed!,もうダメです！,Mō ikemasen!,這樣不行啦！,这样不行啦！,정말 안 돼요!,Itu tidak boleh!,Isso não pode!,แบบนี้ไม่ได้นะ!
,ずーるい ずるいわ,"No fair, you're so unfair",ずるい、あなたってずるいわ,Zūrui zurui wa,犯規 太犯規了啦,犯规 太犯规了啦,"반칙, 정말 반칙이야","Curang, kamu curang sekali","Não vale, assim não vale",ขี้โกง ขี้โกงจริงๆ เลย
,こっちむいて,Look this way,こっちを向いて,Kocchi muite,看這邊嘛,看这边嘛,이쪽 봐 줘,Lihatlah ke sini,Olha pra cá,หันมาทางนี้สิ
,,,,,,,,,,
,あっちむいて（ほい）,Look that way (hoi!),あっちを向いて（ほい）,Acchi muite (hoi),看那邊（嘿！）,看那边（嘿！）,저쪽 봐 (호이!),Lihat ke sana (hoi!),Olha pra lá (hoi!),หันไปทางโน้น (โฮ่ย!)
,こっちむかないで、で、で、で？,"Don't look my way, way, way, way?",こっちを向かないで、で、で、で？,"Kocchi mukanaide, de, de, de?",不要看這邊、邊、邊、邊？,不要看这边、边、边、边？,"이쪽 보지 마, 마, 마, 마?","Jangan lihat ke sini, ni, ni, ni?","Não olha pra cá, cá, cá, cá?",อย่าหันมาทางนี้ นี้ นี้ นี้?
,,,,,,,,,,
,今日び投げんチョーク直撃並,Like a direct hit from chalk no one even throws these days,最近では誰も投げないチョークが直撃したみたい,Kyōbi nagen chōku chokugeki nami,簡直像被現在早沒人丟的粉筆直接砸中,简直像被现在早没人扔的粉笔直接砸中,요즘엔 아무도 안 던지는 분필에 직격당한 수준,"Bagai kena lemparan kapur telak, padahal sekarang tak ada yang begitu",Como levar em cheio um giz que nem se joga mais hoje em dia,เหมือนโดนชอล์กที่สมัยนี้ไม่มีใครขว้างแล้วปาใส่เต็มๆ
,ショッキングな寝ぐせのくせに,Even with that shocking case of bed hair,あんな衝撃的な寝ぐせなのに,Shokkingu na neguse no kuse ni,明明頂著一頭嚇人的睡亂頭髮,明明顶着一头吓人的睡乱头发,충격적인 까치집 머리를 하고선,Padahal rambut bangun tidurmu berantakan parah,Mesmo com esse cabelo amassado chocante,ทั้งที่ผมชี้ฟูตื่นนอนแบบสุดช็อก
,点線引くのやけに上手いのなに？,Why are you so oddly good at drawing dotted lines?,点線を引くのが妙に上手いのはなぜ？,Tensen hiku no yake ni umai no nani?,為什麼虛線畫得特別好啊？,为什么虚线画得特别好啊？,점선은 왜 그렇게 잘 긋는 건데?,Kenapa kamu jago sekali menggambar garis putus-putus?,Por que você é tão estranhamente bom em traçar linha pontilhada?,ทำไมถึงลากเส้นประเก่งผิดปกติขนาดนั้น?
,げに得意げに パンパンパン,"Looking oh-so-proud — pan, pan, pan!",実に得意げに、パンパンパン！,Ge ni tokuige ni pan pan pan,一臉得意地 啪啪啪,一脸得意地 啪啪啪,아주 의기양양하게 팡팡팡,"Dengan bangganya, pan pan pan","Todo orgulhoso — pan, pan, pan!",ทำหน้าภูมิใจสุดๆ ปังปังปัง
,手で払い舞う粉（ハクション！）,Dust dancing as you brush it away (achoo!),手で払うと舞う粉（ハクション！）,Te de harai mau kona (hakushon!),用手一拍就飛揚的粉末（哈啾！）,用手一拍就飞扬的粉末（哈啾！）,손으로 털자 흩날리는 가루 (에취!),Debu kapur beterbangan saat ditepis tangan (hatsyi!),Pó voando quando você o espana com a mão (atchim!),ฝุ่นฟุ้งกระจายตอนปัดด้วยมือ (ฮัดเช้ย!)
,,,,,,,,,,
,「問いに答えよ」 らしくない命令調,"""Answer the question."" — a commanding tone so unlike you",「問いに答えよ」なんて、あなたらしくない命令口調,"""Toi ni kotaeyo"" rashikunai meireichō",「回答問題」這種不像你的命令語氣,「回答问题」这种不像你的命令语气,"""물음에 답하라""라니, 당신답지 않은 명령조","""Jawablah pertanyaannya"" — nada perintah yang tak seperti dirimu","""Responda à questão"" — um tom de ordem que não combina com você","""จงตอบคำถาม"" น้ำเสียงสั่งการที่ไม่เหมือนคุณเลย"
,赤ペンのコミュニケーション,Communication by red pen,赤ペンでのコミュニケーション,Akapen no komyunikēshon,用紅筆進行的交流,用红笔进行的交流,빨간 펜 커뮤니케이션,Komunikasi lewat pena merah,Comunicação de caneta vermelha,การสื่อสารด้วยปากกาแดง
,メンション代わりの 故意のミステイクだって,Even my on-purpose mistakes are my way of mentioning you,メンションの代わりの、わざとのミステイクだって,Menshon gawari no koi no misuteiku datte,就連故意犯的錯，也是代替標註你的方式,就连故意犯的错，也是代替标注你的方式,멘션 대신인 일부러 낸 실수도,Bahkan kesalahan yang kusengaja adalah pengganti mention untukmu,Até meus erros de propósito são meu jeito de te mencionar,แม้แต่ความผิดพลาดที่ตั้งใจทำ ก็แทนการแท็กหาคุณ
,おやつに入ってしまうんでしょう？ You Know？,"It still counts as a treat, doesn't it? You know?",それもおやつに入っちゃうんでしょう？ね？,Oyatsu ni haitte shimau n deshō? You know?,那也算進點心裡吧？You Know？,那也算进点心里吧？You Know？,그것도 간식에 포함되는 거죠? You Know?,"Itu terhitung camilan juga, kan? You know?","Isso também conta como lanche, né? You know?",นั่นก็นับเป็นขนมด้วยใช่มั้ย? You Know?
,もうすこしがんばりましょう のスタンプ,"That ""keep trying a little harder"" stamp",「もう少し頑張りましょう」のスタンプ,Mō sukoshi ganbarimashō no sutampu,「再加把勁吧」的印章,「再加把劲吧」的印章,'조금 더 힘냅시다' 도장,"Stempel ""Ayo berusaha sedikit lagi""","O carimbo de ""continue se esforçando""","ตราปั๊ม ""พยายามอีกหน่อยนะ"""
,良い子は貰えないんでしょう？ 一生,"Good kids never get one, right? Not ever",良い子は一生もらえないんでしょう？,Yoi ko wa moraenai n deshō? Isshō,乖孩子一輩子都拿不到的吧？,乖孩子一辈子都拿不到的吧？,착한 아이는 평생 못 받는 거잖아요?,"Anak baik takkan pernah mendapatkannya, kan? Seumur hidup","Criança boazinha nunca ganha um, né? Nunca na vida",เด็กดีไม่มีวันได้รับหรอกใช่มั้ย? ทั้งชีวิต
,,,,,,,,,,
,恋っていうかさ (pa pi po pu pe po),"It's not quite love, I mean (pa pi po pu pe po)",恋っていうかさ（パピポプペポ）,Koi tte iu ka sa (pa pi po pu pe po),與其說是戀愛嘛 (pa pi po pu pe po),与其说是恋爱嘛 (pa pi po pu pe po),사랑이라고 할까 (pa pi po pu pe po),Entah ini cinta atau bukan (pa pi po pu pe po),Não sei se chamo de amor (pa pi po pu pe po),จะเรียกว่ารักก็ไม่เชิง (pa pi po pu pe po)
,好きというかさ (pa pi po pu pe...),"It's not quite ""like"" either (pa pi po pu pe...)",好きっていうかさ（パピポプペ…）,Suki to iu ka sa (pa pi po pu pe...),與其說是喜歡嘛 (pa pi po pu pe...),与其说是喜欢嘛 (pa pi po pu pe...),좋아한다고 할까 (pa pi po pu pe...),Entah ini suka atau bukan (pa pi po pu pe...),Nem sei se é gostar (pa pi po pu pe...),จะเรียกว่าชอบก็ไม่ใช่ (pa pi po pu pe...)
,うまく言えないの (pa pi po pu pe po),I can't quite put it into words (pa pi po pu pe po),うまく言葉にできないの（パピポプペポ）,Umaku ienai no (pa pi po pu pe po),就是說不清楚嘛 (pa pi po pu pe po),就是说不清楚嘛 (pa pi po pu pe po),잘 말할 수 없어 (pa pi po pu pe po),Tak bisa kuungkapkan dengan baik (pa pi po pu pe po),Não consigo explicar direito (pa pi po pu pe po),พูดออกมาไม่ถูกเลย (pa pi po pu pe po)
,あたま くるくる,My head's spinning round and round,頭がくるくる回る,Atama kurukuru,腦袋轉呀轉,脑袋转呀转,머리가 빙글빙글,Kepalaku berputar-putar,Minha cabeça gira e gira,หัวหมุนติ้วๆ
,なんかへんな 空模様,The sky's looking kind of strange,なんだか変な空模様,Nanka hen na soramoyō,天色好像有點怪怪的,天色好像有点怪怪的,어쩐지 이상한 하늘,Langitnya terasa agak aneh,O céu está meio esquisito,ท้องฟ้าดูแปลกๆ ยังไงก็ไม่รู้
,解けない数式は,This equation I can't solve,解けない数式は,Tokenai sūshiki wa,解不開的數學算式,解不开的数学算式,풀리지 않는 수식은,Rumus yang tak bisa kupecahkan,A equação que não consigo resolver,สมการที่แก้ไม่ตก
,まるでパピプペポ,Is like pure pa-pi-pu-pe-po to me,まるでパピプペポみたい,Marude papipupepo,簡直就是 pa pi pu pe po,简直就是 pa pi pu pe po,마치 파피푸페포 같아,Bagaikan pa pi pu pe po saja,É puro pa pi pu pe po,ราวกับ พาพิพุเพโพ
,,,,,,,,,,
,ずーるい ずるい,"No fair, no fair",ずるい、ずるいよ,Zūrui zurui,太犯規了 犯規啦,太犯规了 犯规啦,반칙이야 반칙,"Curang, curang","Não vale, não vale",ขี้โกง ขี้โกงจัง
,ラドシラソ,La-do-ti-la-sol,ラドシラソ,Ra do shi ra so,La Do Si La Sol,La Do Si La Sol,라도시라솔,La do si la sol,Lá dó si lá sol,ลา โด ที ลา ซอล
,ずーるい ずるい,"No fair, no fair",ずるい、ずるいよ,Zūrui zurui,太犯規了 犯規啦,太犯规了 犯规啦,반칙이야 반칙,"Curang, curang","Não vale, não vale",ขี้โกง ขี้โกงจัง
,わかりませーん,I don't get it at aaall!,わかりませ〜ん！,Wakarimasēn,完全搞不懂～,完全搞不懂～,모르겠어요~,Aku tidak mengertiii~,Não entendo naaada!,ไม่เข้าใจเลย~
,パラッパラッパッパー,Parap-parap-pappah!,パラッパラッパッパー,Parappara pappā,啪啦啪啦啪啪～,啪啦啪啦啪啪～,파랏파랏팟파~,Parappara pappaa,Parappara pappá,พารัปพารัปปัปปา~
,こりゃ何ですの？,"My my, whatever is this?",これは何ですの？,Korya nan desu no?,這是什麼呀？,这是什么呀？,이건 대체 뭐죠?,"Ini apa, ya?","Ora, o que é isto?",นี่มันอะไรกันคะ?
,トクトクと動く ハート,A heart going thump-thump-thump,トクトクと動くハート,Tokutoku to ugoku hāto,撲通撲通跳動的心,扑通扑通跳动的心,콩닥콩닥 뛰는 하트,Jantung yang berdegup kencang,Um coração batendo tum-tum-tum,หัวใจที่เต้นตุบๆ
,,,,,,,,,,
,ずーるい ずるい,"No fair, no fair",ずるい、ずるいよ,Zūrui zurui,太犯規了 犯規啦,太犯规了 犯规啦,반칙이야 반칙,"Curang, curang","Não vale, não vale",ขี้โกง ขี้โกงจัง
,もう知りません！,"Hmph, I'm done with you!",もう知らないから！,Mō shirimasen!,我不管你了啦！,我不管你了啦！,이제 몰라요!,Aku tak mau tahu lagi!,"Pronto, não quero mais saber!",ไม่สนใจแล้ว!
,ずーるい ずるいわ,"No fair, you're so unfair",ずるい、あなたってずるいわ,Zūrui zurui wa,犯規 太犯規了啦,犯规 太犯规了啦,"반칙, 정말 반칙이야","Curang, kamu curang sekali","Não vale, assim não vale",ขี้โกง ขี้โกงจริงๆ เลย
,こっち向いて,Look this way,こっちを向いて,Kocchi muite,看這邊嘛,看这边嘛,이쪽 봐 줘,Lihatlah ke sini,Olha pra cá,หันมาทางนี้สิ
,あっちむいて（ほい）,Look that way (hoi!),あっちを向いて（ほい）,Acchi muite (hoi),看那邊（嘿！）,看那边（嘿！）,저쪽 봐 (호이!),Lihat ke sana (hoi!),Olha pra lá (hoi!),หันไปทางโน้น (โฮ่ย!)
,,,,,,,,,,
,ずーるい ずるい,"No fair, no fair",ずるい、ずるいよ,Zūrui zurui,太犯規了 犯規啦,太犯规了 犯规啦,반칙이야 반칙,"Curang, curang","Não vale, não vale",ขี้โกง ขี้โกงจัง
,まあ どうしましょ,"Oh my, what should I do?",あら、どうしましょう？,Mā dō shimasho,哎呀，怎麼辦呢,哎呀，怎么办呢,"어머, 어떡하죠","Aduh, bagaimana ini?","Nossa, e agora, o que eu faço?",โอ้ ทำยังไงดีล่ะ
,ずーるい ずるいわ,"No fair, you're so unfair",ずるい、あなたってずるいわ,Zūrui zurui wa,犯規 太犯規了啦,犯规 太犯规了啦,"반칙, 정말 반칙이야","Curang, kamu curang sekali","Não vale, assim não vale",ขี้โกง ขี้โกงจริงๆ เลย
,まい上がって,My heart's soaring high,心が舞い上がって,Maiagatte,心都飛上天了,心都飞上天了,마음이 들떠 버려서,Hatiku melambung tinggi,Meu coração está nas nuvens,ใจลอยขึ้นไปสูงเลย
,ぱっぱらぱっぱらぱー,Pappara pappara pah!,ぱっぱらぱっぱらぱー,Pappara pappara pā,啪啪啦啪啪啦啪～,啪啪啦啪啪啦啪～,팟파라 팟파라 파~,Pappara pappara paa,Pappara pappara pá,ปัปปาระ ปัปปาระ ปา~
,てか なんなのさ,"I mean, what even is it?",というか、何なのよ,Teka nan na no sa,話說回來 那到底是什麼啊,话说回来 那到底是什么啊,근데 대체 뭐냐고,"Lagipula, apa itu sebenarnya?","Quer dizer, o que é isso afinal?",ว่าแต่ มันคืออะไรกันเนี่ย
,メガネのおくの ハート,That heart behind your glasses,メガネの奥にあるハート,Megane no oku no hāto,眼鏡後面的那顆心,眼镜后面的那颗心,안경 너머의 하트,Hati di balik kacamata itu,O coração por trás dos óculos,หัวใจที่อยู่หลังแว่นตา
,,,,,,,,,,
,ずるい ずるい,"No fair, no fair",ずるい、ずるいよ,Zurui zurui,太犯規了 犯規啦,太犯规了 犯规啦,반칙이야 반칙,"Curang, curang","Não vale, não vale",ขี้โกง ขี้โกงจัง
,もう いけません！,That's just not allowed!,もうダメです！,Mō ikemasen!,這樣不行啦！,这样不行啦！,정말 안 돼요!,Itu tidak boleh!,Isso não pode!,แบบนี้ไม่ได้นะ!
,ずるい ずるいわ,"No fair, you're so unfair",ずるい、あなたってずるいわ,Zurui zurui wa,犯規 太犯規了啦,犯规 太犯规了啦,"반칙, 정말 반칙이야","Curang, kamu curang sekali","Não vale, assim não vale",ขี้โกง ขี้โกงจริงๆ เลย
,こっちむいて,Look this way,こっちを向いて,Kocchi muite,看這邊嘛,看这边嘛,이쪽 봐 줘,Lihatlah ke sini,Olha pra cá,หันมาทางนี้สิ
,,,,,,,,,,
,やっぱ,"Actually, you know what—",やっぱり,Yappa,果然還是,果然还是,역시,Ternyata memang—,Pensando bem—,คิดดูอีกที
,あっちむいて（ほい）,Look that way (hoi!),あっちを向いて（ほい）,Acchi muite (hoi),看那邊（嘿！）,看那边（嘿！）,저쪽 봐 (호이!),Lihat ke sana (hoi!),Olha pra lá (hoi!),หันไปทางโน้น (โฮ่ย!)
,あっちむいて（ほい）,Look that way (hoi!),あっちを向いて（ほい）,Acchi muite (hoi),看那邊（嘿！）,看那边（嘿！）,저쪽 봐 (호이!),Lihat ke sana (hoi!),Olha pra lá (hoi!),หันไปทางโน้น (โฮ่ย!)
,あっちむいて（ほい）,Look that way (hoi!),あっちを向いて（ほい）,Acchi muite (hoi),看那邊（嘿！）,看那边（嘿！）,저쪽 봐 (호이!),Lihat ke sana (hoi!),Olha pra lá (hoi!),หันไปทางโน้น (โฮ่ย!)
,こっち向かないで、で、で、で！,"Don't look my way, way, way, way!",こっちを向かないで、で、で、で！,"Kocchi mukanaide, de, de, de!",不要看這邊、邊、邊、邊！,不要看这边、边、边、边！,"이쪽 보지 마, 마, 마, 마!","Jangan lihat ke sini, ni, ni, ni!","Não olha pra cá, cá, cá, cá!",อย่าหันมาทางนี้ นี้ นี้ นี้!
