Apple順位,アーティスト,曲名,ソニー系判定(推定),対象月(確定月),Apple Music再生数(月次),Spotify合算(月次),サービス合計(月次),Apple比率,メモ
62,Mrs. GREEN APPLE,Inferno,,,,,,,
63,BE:FIRST,Muchu,△,,,,,,
64,OFFICIAL HIGE DANDISM,Subtitle,,,,,,,
65,Chanmina,Never Grow Up,,,,,,,
66,HANA,NON STOP,△,,,,,,
67,HANA,Tiger,△,,,,,,
68,back number,Want Want Want,,,,,,,
69,Kenshi Yonezu & Hikaru Utada,JANE DOE,◎,,,,,,米津名義/SML
70,back number,I Love You,,,,,,,
71,YOASOBI,夜に駆ける,◎,,,,,,YOASOBI=SMEJ
72,ONE OK ROCK,Wherever you are,,,,,,,
73,Southern All Stars,Manatsu No Kajitsu,,,,,,,
74,sakanaction,Shin Takara Jima,,,,,,,
75,Fujii Kaze,Kirari,,,,,,,
76,Aimyon,Let the Night,,,,,,,
77,=LOVE,LOVE Song ni Osowareru,◎,,,,,,
78,YOASOBI,Gunjou,◎,,,,,,
79,Yuuri,Dried Flower,○,,,,,,優里=ソニー系のはず
80,HANA,Cold Night,△,,,,,,
81,HANA,Burning Flower,△,,,,,,
82,Keisuke Kuwata,Naminori Johnny,,,,,,,
83,back number,Phantom thief,,,,,,,
84,Mrs. GREEN APPLE,Romanticism,,,,,,,
85,YAO,"777 (feat. Awich, CHICO CARLITO, ONE OK ROCK & Paledusk)",,,,,,,
86,M!LK,E Jan,,,,,,,
87,OFFICIAL HIGE DANDISM,Yesterday,,,,,,,
88,Michael Jackson,Beat It,○,,,,,,
89,=LOVE,Zettai idol yamenaide,◎,,,,,,
90,VAUNDY,fly away,,,,,,,
91,Mrs. GREEN APPLE,GOOD DAY,,,,,,,
92,Superfly,AI WO KOMETE HANATABAWO,,,,,,,
93,ARASHI,Monster,,,,,,,
94,Aimyon,Kimi Wa Rock Wo Kikanai,,,,,,,
95,Fujii Kaze,Michi Teyu Ku (Overflowing),,,,,,,
96,back number,Velvet,,,,,,,
97,SIX LOUNGE,I can't see the stars because you're so bright,,,,,,,
98,HANA,Drop,△,,,,,,
99,Hikaru Utada,First Love (Remastered 2014),,,,,,,
100,back number,Kimino Koibitoni Nattara,,,,,,,
101,aiko,Hanabi,,,,,,,
102,Mr.Children,Hanabi,,,,,,,
103,VAUNDY,Fujin,,,,,,,
104,OFFICIAL HIGE DANDISM,Shukumei,,,,,,,
105,HANA,ALL IN,△,,,,,,
106,Spitz,Cherry,,,,,,,
107,ARASHI,A・RA・SHI,,,,,,,
108,Omoinotake,Ikuokukonen,○,,,,,,Omoinotake=Epicのはず
109,SEKAI NO OWARI,Stella,,,,,,,
110,Kvi Baba,How Many Girls (feat. HENTAI SHINSHI CLUB),,,,,,,
111,Mongol800,Chiisana Koi NO Uta,,,,,,,
112,Orange Range,Ikenai Taiyou,○,,,,,,ORANGE RANGE旧音源=gr8!(当時)
113,OFFICIAL HIGE DANDISM,I Love...,,,,,,,
114,HANA,BAD LOVE,△,,,,,,
115,Mrs. GREEN APPLE,WanteD! WanteD!,,,,,,,
116,YOASOBI,Ano yume wo nazotte,◎,,,,,,
117,back number,Yellow,,,,,,,
118,Michael Jackson,Thriller,○,,,,,,
119,HANA,My Body,△,,,,,,
120,OFFICIAL HIGE DANDISM,No Doubt,,,,,,,
121,Kenshi Yonezu,Peace Sign,◎,,,,,,
122,Macaroni Empitsu,Koibitogokko,,,,,,,
123,Kenshi Yonezu,Kanden,◎,,,,,,
124,RADWIMPS,me me she,,,,,,,
125,BTS,SWIM,,,,,,,
126,GReeeeN,Kiseki,,,,,,,
127,KANA-BOON,Silhouette,◎,,,,,,KANA-BOON=Ki/oon
128,YOASOBI,Idol,◎,,,,,,
129,aiko,Kabutomushi,,,,,,,
130,Ed Sheeran,Shape of You,,,,,,,
131,Michael Jackson,Bad (2012 Remaster),○,,,,,,
132,back number,Shiawase,,,,,,,
133,ILLIT,Magnetic,,,,,,,
134,Mrs. GREEN APPLE,familie,,,,,,,
135,YUI,Summer Song,◎,,,,,,YUI=gr8!
136,aiko,Kisshug,,,,,,,
137,SAUCY DOG,Cinderella Boy,,,,,,,
138,Mrs. GREEN APPLE,Antenna,,,,,,,
139,=LOVE,seishun subliminal,◎,,,,,,
140,MAZZEL,So Strawberry,△,,,,,,MAZZEL=BMSG
141,back number,Old Fashion,,,,,,,
142,Porno Graffitti,Saudade,◎,,,,,,ポルノグラフィティ=SME
143,Taylor Swift,"I Knew It, I Knew You (From ""Toy Story 5"")",,,,,,,
144,King Gnu,Hakujitsu,◎,,,,,,
145,BABYMONSTER,CHOOM,,,,,,,
146,"LE SSERAFIM, ILLIT & KATSEYE",ICONIC BY MISTAKE,,,,,,,
147,Yuuri,BETELGEUSE,○,,,,,,
148,M!LK,Maji Destiny (Shunta Sono & Jyutaro Yamanaka),,,,,,,
149,Mrs. GREEN APPLE,Columbus,,,,,,,
150,Kvi Baba,"Friends, Family & God (feat. G-k.i.d & KEIJU)",,,,,,,
151,CORTIS,REDRED,,,,,,,
152,HIRAIDAI,Slow & Easy,,,,,,,
153,ARASHI,Guts!,,,,,,,
154,Kenshi Yonezu,Eine Kleine,◎,,,,,,
155,Macaroni Empitsu,Blueberry Nights,,,,,,,
156,Spitz,Robinson,,,,,,,
157,M!LK,Shiozaki Wonderland (Daichi Shiozaki),,,,,,,
158,King Gnu,SPECIALZ,◎,,,,,,
159,RADWIMPS,Sparkle,,,,,,,
160,RADWIMPS,Sokkenai,,,,,,,
161,ROSÉ & Bruno Mars,APT.,,,,,,,
162,Chanmina,B-list,,,,,,,
163,BTS,2.0,,,,,,,
164,aiko,Boyfriend,,,,,,,
165,OFFICIAL HIGE DANDISM,Cry Baby,,,,,,,
166,TUKI.,Bansanka,,,,,,,
167,back number,Check No One Piece,,,,,,,
168,BABYMONSTER,SUGAR HONEY ICE TEA,,,,,,,
169,Kenshi Yonezu,KICK BACK,◎,,,,,,
170,Macaroni Empitsu,"Nanndemonaiyo,",,,,,,,
171,ARASHI,truth,,,,,,,
172,Creepy Nuts,Bling-Bang-Bang-Born,◎,,,,,,Creepy Nuts=SML
173,BUMP OF CHICKEN,Tentaikansoku,,,,,,,
174,HANA,Bloom,△,,,,,,
175,SAUCY DOG,Itsuka,,,,,,,
176,ILLIT,Almond Chocolate,,,,,,,
177,Yuuri,Leo,○,,,,,,
178,YUZU,夏色,,,,,,,
179,SUPER BEAVER,Climax,◎,,,,,,SUPER BEAVER=SML
180,Tani Yuuki,W / X / Y,,,,,,,
181,YOASOBI,The Blessing,◎,,,,,,
182,BTS,Dynamite,,,,,,,
183,VAUNDY,Hadaka No Yusha,,,,,,,
184,Keisuke Kuwata,Ashita Harerukana,,,,,,,
185,Justin Bieber,Beauty and a Beat (feat. Nicki Minaj),,,,,,,
186,YOASOBI,RGB,◎,,,,,,
187,BAD HOP,"Last Party Never End (feat. Tiji Jojo, YZERR, Vingo & Yellow Pato)",,,,,,,
188,Mrs. GREEN APPLE,I’m invincible,,,,,,,
189,VAUNDY,Time Paradox,,,,,,,
190,OFFICIAL HIGE DANDISM,Stardust,,,,,,,
191,Shota Shimizu,Puzzle,◎,,,,,,清水翔太=SME
192,HY,366日,,,,,,,
193,Michael Jackson,Don't Stop 'Til You Get Enough,○,,,,,,
194,Macaroni Empitsu,Mr Blue Sky,,,,,,,
195,Sheena Ringo,Marunouchi Sadistic,,,,,,,
196,Masaki Suda,Niji,◎,,,,,,菅田将暉=Epic
197,ARASHI,ワイルド アット ハート,,,,,,,
198,OFFICIAL HIGE DANDISM,Elderflower,,,,,,,
199,Shakira & Burna Boy,Dai Dai,○,,,,,,Shakira=ソニー洋楽
200,ARASHI,Troublemaker,,,,,,,
